channel,color,low,high
ACTA2,#a2a2a2,25,1500
ADCY2,#a2a2a2,25,500
AR,#a2a2a2,250,1500
AREG,#a2a2a2,25,500
AZGP1,#a2a2a2,25,500
BATF,#a2a2a2,25,500
CD31,#a2a2a2,25,1000
CD36,#a2a2a2,25,500
CD45,#a2a2a2,25,500
CD68,#a2a2a2,25,500
CTNNB1,#a2a2a2,25,500
CUX2,#a2a2a2,25,500
CXCL13,#a2a2a2,25,500
DAPI,#a2a2a2,25,8500
EGFR,#a2a2a2,50,250
ENAH,#a2a2a2,25,2500
ESR1,#a2a2a2,25,200
FN1,#a2a2a2,10,500
INSR,#a2a2a2,50,300
KRT23,#a2a2a2,25,1500
KRT8,#a2a2a2,25,1500
KYNU,#a2a2a2,25,500
LAMA2,#a2a2a2,25,500
LAMB1,#a2a2a2,100,2500
LNX1,#a2a2a2,10,150
LYVE1,#a2a2a2,170,400
NR4A1,#a2a2a2,25,500
OXTR,#a2a2a2,50,200
PDGFRB,#a2a2a2,25,200
PDPN,#a2a2a2,25,500
PGR,#a2a2a2,25,2500
PLIN1,#a2a2a2,25,500
RPSA,#a2a2a2,25,500
RYR2,#a2a2a2,25,500
SLPI,#a2a2a2,25,500
THBS1,#a2a2a2,25,500
TP63,#a2a2a2,100,400
